pH_level,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn,Akermanite,Albite,Aluminium oxide hydroxide,Anhydrite,Aragonite,Augite,Biotite,Birnessite,Calcite,Clinochlore,Cuspidine,Diaspore,Dickite,Gehlenite,Goethite,Haematite,Illite,Kaolinite,Langite,Linnaeite,Magnesioferrite,Melilite,Merwinite,Microcline,Mullite,Muscovite,Nitratine,Orthoclase,Orthopyroxene,Periclase,Pigeonite,Phengite,Pseudowollastonite,Quartz,Staurolite,Valentinite
9.921,143502.5206,47579.60577,8393.106065,255144.6037,18513.20203,4302.769979,3569.635441,20.5260727,2936.780199,4491.853381,599.9225281,676.4756407,3045.214653,16.55,0.2,5,30,10.3,1.5,0.25,2,28,5,0.5,40,70,0.5,6,11,7000,1.5,15,10,5,5,18,5,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8.85,221096.7174,53189.6594,27907.07767,95053.87197,8201.288197,5415.555319,15772.80776,95.78833926,3536.123096,1239.131967,1399.819232,169.1189102,626.955958,19.6,0.2,15,20,2.1,1.5,0.25,11,44,5,0.5,20,30,1,29,61,1600,3,5,10,5,5,25,5,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
7.701,215954.9333,88649.43233,53506.05117,34876.90941,7960.073838,8308.797202,23161.12298,191.5766785,8031.194829,2710.601178,3699.522256,84.55945508,447.8256843,15.8,0.2,60,10,1.1,1.5,0.25,31,97,5,0.5,20,40,1,60,14,500,5,15,10,5,5,39,5,57,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8.295,260828.6857,43292.678,22381.61617,79688.02049,6633.394865,5934.855144,14444.57132,75.26226656,3056.648778,619.5659835,1399.819232,84.55945508,447.8256843,15.8,0.2,11,10,0.7,1.5,0.25,9,37,5,0.5,10,20,1,23,43,600,1.5,3,10,5,5,21,5,68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
8.363,188376.273,63774.66625,25389.14585,147226.2979,7115.823583,2893.241883,8218.462992,75.26226656,2876.845909,2942.938422,1499.80632,253.6783652,3224.344927,18.6,0.5,8,20,5.8,1.5,1,4,32,5,0.5,20,40,1,10,158,2400,5,5,10,5,5,11,5,210,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8.047,284200.4317,51760.68348,31474.14775,30874.64112,9045.538452,6602.526348,16602.95554,102.6303635,3056.648778,1239.131967,1599.793408,84.55945508,806.0862317,14.8,0.7,12,10,1.5,1.5,1.8,9,41,5,1,10,20,1,24,240,900,5,3,10,5,5,23,5,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
9.841,265970.4698,52342.85885,29515.75633,57389.66857,9769.181529,6528.340658,16353.91121,102.6303635,3056.648778,1239.131967,1299.832144,84.55945508,1343.477053,13.8,0.4,10,20,2.5,1.5,0.9,7,39,5,1,20,30,1,24,124,2300,3,4,10,5,5,26,5,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10.294,246805.6381,53983.53491,25319.2033,85762.892,8683.716914,5341.36963,14444.57132,82.1042908,2936.780199,1394.023463,1099.857968,84.55945508,985.2165054,15.9,0.4,15,20,3.1,1.5,0.8,7,32,5,0.5,20,30,1,20,118,2400,5,5,10,5,5,20,5,202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10.797,92552.11428,25774.49167,4406.380684,316608.0096,6573.091275,1409.528097,2739.487664,20.5260727,719.2114773,1626.360707,199.974176,253.6783652,2955.649516,27.2,0.3,5,50,6.3,1.5,0.25,1,19,5,0.5,30,40,0.5,4,27,5800,1.5,7,10,5,5,7,5,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9.019,251947.4222,44404.10372,27067.76706,87549.61892,10854.64614,5712.298076,12286.1871,82.1042908,2936.780199,2633.15543,1099.857968,253.6783652,2059.998148,14.95,0.8,12,20,4.5,1.5,1.5,6,42,5,2,20,40,1,18,211,3300,6,5,10,5,5,23,5,399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.774,129479.473,37735.54941,7274.025257,278729.399,11216.46768,1706.270854,3071.546775,13.68404847,958.9486363,1936.143699,99.98708801,253.6783652,5194.777938,19.7,0.3,4,60,9.1,1.5,0.25,2,23,5,0.5,30,60,0.5,4,28,11800,1.5,10,10,5,5,5,5,51,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
